Name,Handle,Media URL,Retweets,Likes,Comments,Views,Tweet URL,Profile Link,Post Body,Date,Timestamp
Alex Epstein,@AlexEpstein,"https://pbs.twimg.com/media/GJ2ZTdKWoAExkOY?format=jpg&name=small, https://pbs.twimg.com/media/GJ2ZTdKWoAExkOY?format=jpg&name=small",96,218,5,5.8K,https://x.com/AlexEpstein/status/1773742389691142298,https://x.com/AlexEpstein,Have you heard about the catastrophic wildfires in California? Hundreds of thousands displaced by flood in Sudan? The unrelenting heat in Brazil? The 70% of the world's population expected to suffer rapid increase in extreme weather in the next twenty years?,29-Mar-24,2024-03-29T16:01:54.000Z
Georgina Woods,@georgefwoods,,2,7,2,227,https://x.com/georgefwoods/status/1833700671826358305,https://x.com/georgefwoods,"Most of the disasters that afflict humanity are in some way tied to water.

As water bodies face mounting pressure from the triple planetary crisis, experts now push for more countries to invest in multi-hazard early warning systems as a way to adapt to extreme weather.",09-Nov-24,2024-09-11T02:54:43.000Z
UN Environment Programme,@UNEP,,156,292,74,19K,https://x.com/UNEP/status/1688475065376239617,https://x.com/UNEP,"Climate Change and Intersectionality: Why it Matters

We are all facing the same storm but in different boats. 

Intersectionality refers to the interconnectedness of things. When we talk about climate change, it is more than statistics or data points; it is about people. In",08-Jul-23,2023-08-07T09:00:00.000Z
Vanessa Nakate,@vanessa_vash,"https://pbs.twimg.com/media/GVU0BDYXQAAEd7Z?format=jpg&name=small, https://pbs.twimg.com/media/GVU0BDYXQAAEd7Z?format=jpg&name=small",115,315,7,9.2K,https://x.com/vanessa_vash/status/1825422426584281472,https://x.com/vanessa_vash,"So what do we mean when we talk about the climate crisis? 

These are the problems that are being caused by changes in the planet’s climate, including extreme weather events and natural disasters. 

Additionally, ocean acidification and sea-level rise, loss of biodiversity, food",19-Aug-24,2024-08-19T06:39:55.000Z
Sanitation and Water for All,@sanwatforall,,58.5,115,1,18,https://x.com/sanwatforall/status/1833140517904765106,https://x.com/sanwatforall,Prolonged droughts and disasters disrupt education by displacing students and worsening economic conditions. Mitigation through education includes developing climate-resilient curricula & supporting affected communities  to ensure continued learning and school attendance,09-Sep-24,2024-09-09T13:48:52.000Z
YOUTH BIODIVERSITY CONSERVATION INITIATIVE -,@YOUTHBIODI51911,"https://pbs.twimg.com/media/GXEV6g1W8AAZSuu?format=jpg&name=small, https://pbs.twimg.com/media/GXEV6g1W8AAZSuu?format=jpg&name=small",2,228,120,60,https://x.com/YOUTHBIODI51911/status/1833270625571320216,https://x.com/YOUTHBIODI51911,"Listen here, big brain. 

It’s time for your weekly dose of reality. Booster time. 

I want you to consider the two photos shown below. Study them. Look at them closely until the images are burnt into your retinas. 

The photograph on the left shows Miami Beach, Florida in",09-Sep-24,2024-09-09T22:25:52.000Z
Chris Martz,@ChrisMartzWX,"https://pbs.twimg.com/media/GWzgidTWUAAO8lr?format=jpg&name=small, https://pbs.twimg.com/media/GWzgidTWUAAO8lr?format=jpg&name=small",615,2.2K,122,58K,https://x.com/ChrisMartzWX/status/1832086036697989218,https://x.com/ChrisMartzWX,"ClimateChange is fueling more extreme weather, including heatwaves and drought.

By 2050, more than 75% of the  could face drought.

But there are ways to mitigate it, such as restoring forests, regenerating grasslands and controlling erosion, says @ibrahimthiaw",09-Jun-24,2024-09-06T15:58:44.000Z
UN Climate Change,@UNFCCC,,281,400,46,2K,https://x.com/UNFCCC/status/1554806551445225472,https://x.com/UNFCCC,"Understand the long-term implications of climate change on our wet season. With climate change driving more intense storms and heavier rainfall, it’s crucial to be aware of these evolving risks. Learn about effective strategies for disaster management and how you can contribute",08-Mar-22,2022-08-03T12:29:03.000Z
ODPM Trinidad and Tobago,@ODPM_TT,https://pbs.twimg.com/media/GXMbdd_WgAA5K6m?format=jpg&name=360x360,208,1,1,228,https://x.com/ODPM_TT/status/1833839742267318537,https://x.com/ODPM_TT,"Climate disasters are reversing global development.

The new @UN Global Assessment Report on Disaster Risk Reduction (GAR 2023) launched this week by @UNDDR highlights how resilience can be strengthened so that communities can better withstand and respond to shocks.",09-Nov-24,2024-09-11T12:07:20.000Z
UN Environment Programme,@UNEP,,135,232,35,25K,https://x.com/UNEP/status/1680442133201780739,https://x.com/UNEP,"Climate change is accelerating, but so are solutions!  Investing in renewable energy, reducing waste, and supporting sustainable practices are crucial steps we can all take. Let's protect our planet for future generations. Every action counts! #ClimateAction #sustainability",16-Jul-23,2023-07-16T05:00:00.000Z
Muskan,@Muskan_nnn,,297,110,115,780,https://x.com/Muskan_nnn/status/1833140888983503065,https://x.com/Muskan_nnn,"""This is not about the future, this is about today.� Extreme weather events exacerbated by #climatechange are causing death, displacement, and suffering. Cost of climate-related disasters is estimated at $520 billion a year.",09-Sep-24,2024-09-09T13:50:20.000Z
"Susan Joy Hassol, Climate Communication",@ClimateComms,,459,534,17,2.5K,https://x.com/ClimateComms/status/1147997210736508929,https://x.com/ClimateComms,"With climate change, landscape-level transformations are happening faster and becoming more extreme. As the West becomes warmer and drier, the idea of “recovery” becomes increasingly unrealistic.

#ActOnClimate #ClimateChange",07-Jul-19,2019-07-07T22:33:58.000Z
Paul Dawson,@PaulEDawson,,227,158,6,500,https://x.com/PaulEDawson/status/1014963348289523713,https://x.com/PaulEDawson,"Ontological Analysis to understand the Interplay between Ecosystem Services, Human Well-being, and Climate Change
Learn more here: https://cwejournal.org/vol2no2/pontological-analysis-to-understand-the-interplay-between-ecosystem-services-human-well-being-and-climate-changep…
#ClimateChange #EcosystemServices #Ontology #Wellbeing #environment #wastemanagement #environmentallaws",07-May-18,2018-07-05T20:04:53.000Z
Current World Environment,@cwejournal,"https://pbs.twimg.com/media/GXBM8_nWYAERGpG?format=jpg&name=small, https://pbs.twimg.com/media/GXBM8_nWYAERGpG?format=jpg&name=small",149.5,163,5,35,https://x.com/cwejournal/status/1833049666763587691,https://x.com/cwejournal,"3. The ecological crisis is not just about emissions. It's also about deforestation, soil depletion, ocean dead zones, and mass extinction.  Clean energy alone will not reverse these trends. A clean-powered economy obsessed with growth will keep chewing through our living planet.",09-Sep-24,2024-09-09T07:47:51.000Z
Jason Hickel,@jasonhickel,,72,168,6,229,https://x.com/jasonhickel/status/1135149817854930944,https://x.com/jasonhickel,"Climate change is more than just statistics—it's about lives, homes, and futures at risk. Wildfires, droughts, and heatwaves are escalating threats that demand urgent action. How can we push for stronger policies to protect our environment and communities?",06-Feb-19,2019-06-02T11:43:01.000Z
